Processor Pool Total: 2115141856 Used:  255817016 Free: 1859324840
reserve P Pool Total:     102404 Used:         88 Free:     102316
 lsmpi_io Pool Total:    3149400 Used:    3148568 Free:        832

 PID TTY  Allocated      Freed    Holding    Getbufs    Retbufs Process
 277   0       2432        448      55928          0          0 DAPR ER process 
 445   0       2384        448      55880          0          0 LDAP process    
 451   0       2368        448      55864          0          0 TPLUS           
 481   0       1824          0      55768          0          0 PKI OCSP        
 450   0       1184          0      55128          0          0 CDP Protocol    
 596   0       1632        576      55000          0          0 PnP Agent Discov
 535   0      30984       6048      54816          0          0 DCM Core Thread 
 678   0        784          0      54728          0          0 ONEP Dispatch po
 675   0        744          0      54688          0          0 ONEP Dispatch po
 347   0        744          0      54688          0          0 ONEP Dispatch po
 346   0        736          0      54680          0          0 ONEP Dispatch po
 671   0        736          0      54680          0          0 ONEP Dispatch po
 413   0        736          0      54680          0          0 ONEP Dispatch po
 679   0        736          0      54680          0          0 ONEP Dispatch po
 576   0        736          0      54680          0          0 ONEP Dispatch po
 349   0        672          0      54616          0          0 MRIB RP Proxy   
 449   0       6256       4256      54400          0          0 LOCAL AAA       
 499   0        896        448      54392          0          0 MMON PROCESS    
 327   0        408          0      54352          0          0 ADJ background  
 345   0        408          0      54352          0          0 MFIB Master back
 288   0        408          0      54352          0          0 fib_fib_bfd_sb e
 208   0        408          0      54352          0          0 CEF switching ba
 328   0        408          0      54352          0          0 Collection proce
 398   0        408          0      54352          0          0 FRR Manager     
 367   0        408          0      54352          0          0 ADJ resolve proc
 667   0   34518848   34518696      54096          0          0 mdns Timer Proce
 250   0          0          0      54080          0          0 LONG TO SHORT NA
 548   0        448        448      53944          0          0 ISG MIB jobs Man
 137   0          0          0      53944          0          0 Crypto PKI-HA   
 552   0          0          0      53944          0          0 DAPR FNF Collect
 537   0          0          0      53944          0          0 Test AAA Client 
   3   0          0          0      53944          0          0 Policy bind Proc
 501   0          0          0      53944          0          0 CCSIP_EVENT_TRAC
 519   0        448        448      53944          0          0 CME Extension Mo
 488   0        448       1072      53944          0          0 Crypto IKE Dispa
 487   0          0          0      53944          0          0 Crypto INT      
 544   0          0          0      53944          0          0 IKEv2 FlexVPN Pr
 482   0          0          0      53944          0          0 PKI Revocation  
  47   0          0          0      53944          0          0 Policy Manager  
 480   0          0          0      53944          0          0 Crypto PKI-Rev-P
 479   0        448        448      53944          0          0 Crypto PKI-CRL  
 151   0          0          0      53944          0          0 ASYNC Input     
 477   0          0          0      53944          0          0 RSA background p
 483   0          0          0      53944          0          0 encrypt proc    
 154   0          0          0      53944          0          0 BFD HW EVENT    
 155   0          0          0      53944          0          0 BFD IPV6 ADDR CH
  17   0          0          0      53944          0          0 PKI Trustpool   
  78   0        448        448      53944          0          0 Logger          
 518   0        448        448      53944          0          0 VOICE REG BG Pro
 159   0          0          0      53944          0          0 IPSec background
 160   0          0          0      53944          0          0 MCP RP autovc pr
  62   0        448        448      53944          0          0 XML Proxy Client
 458   0          0          0      53944          0          0 MPLS Auto Mesh P
  55   0          0          0      53944          0          0 License IPC stat
  56   0          0          0      53944          0          0 License IPC serv
 316   0          0      12512      53944          0          0 TCP Timer       
 446   0          0          0      53944          0          0 Opaque Database 
 196   0        448        448      53944          0          0 RG Protocol Time
  60   0        448        448      53944          0          0 Dialer event    
 197   0        448        448      53944          0          0 RG Transport Tim
 405   0          0          0      53944          0          0 RSVP HA Services
 401   0          0          0      53944          0          0 LFD Label Block 
 400   0          0          0      53944          0          0 Path set broker 
 305   0        448        592      53944          0          0 nbar-pp-monitor 
 303   0        448        592      53944          0          0 nbar-auto-custom
 389   0          0          0      53944          0          0 SSL background p
 387   0          0          0      53944          0          0 VPDN call manage
 384   0        448        448      53944          0          0 X.25 Background 
 302   0        448        592      53944          0          0 nbar-custom-prot
 179   0        448        448      53944          0          0 Ethernet LMI    
 374   0        448        448      53944          0          0 IP Inband Sessio
 373   0        448        448      53944          0          0 IP SIP Process  
 294   0          0          0      53944          0          0 Routing Topology
 292   0        448       2664      53944          0          0 Flow Exporter Ti
 357   0        448        448      53944          0          0 MCPRP RG Timer  
 354   0        448        448      53944          0          0 RG Media Timer  
 353   0          0          0      53944          0          0 RG If-Mgr Timer 
 228   0          0          0      53944          0          0 IP Input        
  82   0        448       1408      53944          0          0 SXP CORE        
 233   0        448        448      53944          0          0 KRB5 AAA        
 225   0        448        448      53944          0          0 IPAM Events     
 237   0          0          0      53944          0          0 DM Proc         
 325   0        448        448      53944          0          0 Tunnel          
 193   0        448        448      53944          0          0 RG Faults Timer 
 240   0        448        448      53944          0          0 PPP IP Route    
 312   0          0          0      53944          0          0 Ethernet PM Moni
 244   0        448        448      53944          0          0 SSM connection m
 221   0        448        448      53944          0          0 DVLAN Config Pro
 245   0          0          0      53944          0          0 SSS Manager     
 304   0        448       2536      53944          0          0 nbar-sdavc-sched
 246   0          0          0      53944          0          0 SSS Policy Manag
 249   0          0          0      53944          0          0 SSS PM SHIM QOS 
 301   0        448        592      53944          0          0 nbar-graph-sende
 217   0          0          0      53944          0          0 IEDGE ACCT TIMER
 293   0        448        448      53944          0          0 Flow Exporter Pa
 257   0        448        448      53944          0          0 Tunnel BGP      
 266   0          0          0      53944          0          0 LSP Tunnel FRR  
 267   0          0          0      53944          0          0 MPLS Auto-Tunnel
 283   0          0          0      53944          0          0 XDR receive     
 271   0        448        448      53944          0          0 SSS Mobility mes
 270   0        448        448      53944          0          0 ATM OAM TIMER   
 269   0        448        448      53944          0          0 ATM OAM Input   
 587   0     115368     104144      53168          0          0 EEM ED Timer    
 602   0      22920          0      52864          0          0 trunk conditioni
 467   0      51584      83072      52784          0          0 iosp_global_eem_
 157   0      20248      39816      52728          0          0 EEM ED ND       
 465   0      12056       1440      52560          0          0 Manet Infra Back
 579   0      19808       9464      52288          0          0 EEM ED Interface
 139   0      38040      62552      52168          0          0 RF Master Main T
 583   0      19704      10712      51688          0          0 EEM ED RF       
 578   0      18856      10032      51336          0          0 EEM ED Counter  
 582   0      68240      59040      51144          0          0 EEM ED OIR      
 588   0      44384      35256      51072          0          0 EEM ED Test     
 542   0      18512       9464      50992          0          0 EEM ED Resource 
 540   0      18064       9464      50544          0          0 EEM ED Track    
 586   0      18032       9464      50512          0          0 EEM ED SNMP Noti
 156   0      17840       9464      50320          0          0 EEM ED MAT      
 598   0      17840       9464      50320          0          0 EEM ED RPC      
 585   0      17840       9464      50320          0          0 EEM ED SNMP Obje
 593   0      17840       9464      50320          0          0 EM ED GOLD      
 590   0      17840       9464      50320          0          0 EEM ED Env      
 589   0      17840       9464      50320          0          0 EEM ED Config   
 599   0      17840       9464      50320          0          0 EEM ED Ipsla    
 581   0      17840       9464      50320          0          0 EEM ED None     
 580   0      17840       9464      50320          0          0 EEM ED IOSWD    
 133   0      16680          0      46624          0          0 OFSDN Punject Pr
  79   0      72712       3720      46624          0          0 TTY Background  
 203   0      17128        448      46624          0          0 AAA Server      
 371   0      29224      10784      44728          0          0 SR CapMan Proces
 567   0      30728        936      44352          0          0 DCM snmp dp Thre
  63   0    5666568    5703936      44240          0          0 crypto sw pk pro
 453   0       6824       1008      43760          0          0 EST Client      
  93   0       1856        448      43352          0          0 PuntInject Keepa
 377   0        896        448      42392          0          0 Multicast Offloa
 300   0        408          0      42352          0          0 Tunnel FIB      
 290   0      12008          0      42064          0          0 LSD HA Proc     
 557   0          0          0      41944          0          0 BGP Scheduler   
 543   0          0          0      41944          0          0 BGP BMP Server  
 138   0        448        448      41944          0          0 SISF HA Process 
 682   0          0          0      41944          0          0 BGP Consistency 
  19   0        448        448      41944          0          0 ATM AutoVC Perio
 102   0          0          0      41944          0          0 CONSOLE helper p
 526   0          0          0      41944          0          0 Licensing MIB pr
 313   0          0          0      41944          0          0 Ethernet Datapla
  91   0          0          0      41944          0          0 REDUNDANCY FSM  
 497   0          0          0      41944          0          0 SRMS_PROCESS    
 216   0          0          0      41944          0          0 HQF TARGET DYNAM
 496   0          0          0      41944          0          0 SEGMENT ROUTING 
 490   0          0          0      41944          0          0 IPSEC manual key
 311   0        448        448      41944          0          0 Ethernet PM Soft
 146   0          0          0      41944          0          0 Per-Second Jobs 
 475   0          0          0      41944          0          0 QOS PERUSER     
 385   0     277072     277072      41944          0          0 QoS stats proces
 380   0          0          0      41944          0          0 IPv6 Static Hand
 379   0        448        448      41944          0          0 static          
 335   0          0          0      41944          0          0 IPv6 RIB Cleanup
 336   0          0          0      41944          0          0 IPv6 RIB Event H
 437   0          0          0      41944          0          0 DynCmd Package P
 199   0          0          0      41944          0          0 EPM IAL Process 
 334   0        448        448      41944          0          0 App Route Proces
 310   0          0          0      41944          0          0 Ethernet PM Proc
 436   0        448        448      41944          0          0 vxlan sr main   
  92   0          0          0      41944          0          0 Punt FP Stats Du
 676   0          0          0      41944          0          0 BGP I/O         
 180   0        448        448      41944          0          0 Ethernet OAM Pro
 289   0          0          0      41944          0          0 IP IRDP         
 684   0          0          0      41944          0          0 BGP Event       
 677   0          0          0      41944          0          0 BGP Scanner     
 569   0      17088      21176      41480          0          0 Bulkstat-Client 
 516   0      10336          0      40280          0          0 Skinny HW confer
  88   0      10544        448      40040          0          0 CTS HA          
 534   0       9656        464      39272          0          0 dcm_cli_provider
  49   0      12648       3616      38976          0          0 Entity MIB API  
 670   0     392320       1616      38632          0          0 EEM Helper Threa
 324   0       8600          0      38544          0          0 BGP HA SSO      
 536   0       9048       2912      38544          0          0 AAA SEND STOP EV
 628   0       8600          0      38544          0          0 IPC ISSU Version
 365   0       9048        448      38544          0          0 PPP Compress Inp
 299   0       8696          0      38400          0          0 SSH Event handle
   9   0       8736        448      38232          0          0 Check heaps     
 132   0       6864          0      36808          0          0 L2 LISP Punt Pro
 402   0       6392          0      36336          0          0 LDP HA          
 570   0       6752        464      36072          0          0 dcm_expression_p
 145   0       5776       3592      35720          0          0 Per-minute Jobs 
 561   0       6608        896      35656          0          0 CTS credentials 
 568   0       6288        464      35616          0          0 snmp dcm ma shim
 339   0       6008       2616      35384          0          0 VPWS Thread     
 533   0       4496          0      34440          0          0 dcm_cli_engine  
 573   0      35632        936      33704          0          0 Call Home DS    
 278   0       4248        328      33624          0          0 NVE main thread 
 433   0       3608          0      33552          0          0 EVPN main thread
 412   0       3456        616      33400          0          0 EVPN VPWS Thread
 212   0       3344          0      33288          0          0 TRACK Main threa
 213   0       3344          0      33288          0          0 TRACK Client thr
 214   0       3344          0      33288          0          0 VRRP Main thread
 211   0       3344          0      33288          0          0 FHRP Main thread
  59   0       3280          0      33224          0          0 RF SCTPthread   
 207   0      37136       1120      33168          0          0 Call Home Timer 
 435   0       3224          0      33168          0          0 NVE MGR RWATCH T
