Processor Pool Total: 2115141856 Used:  255817016 Free: 1859324840
reserve P Pool Total:     102404 Used:         88 Free:     102316
 lsmpi_io Pool Total:    3149400 Used:    3148568 Free:        832

 PID TTY  Allocated      Freed    Holding    Getbufs    Retbufs Process
  40   0          0          0      29944          0          0 MEMLEAK PROCESS 
  39   0          0          0      29944          0          0 SENSOR-MGR event
  38   0          0          0      29944          0          0 IPC Session Deta
  37   0          0          0      29944          0          0 IPC Loadometer  
  36   0          0          0      29944          0          0 IPC Keep Alive M
  35   0          0          0      29944          0          0 IPC Seat TX Cont
 513   0          0          0      29944          0          0 EPHONE MWI Refre
 514   0          0          0      29944          0          0 FB/KS Log HouseK
 515   0        448        448      29944          0          0 EPHONE MWI BG Pr
 420   0        448        448      29944          0          0 BD MACSEC HA    
  34   0          0          0      29944          0          0 IPC Seat RX Cont
 119   0          0          0      29944          0          0 CHKPT Test clien
 254   0          0          0      29944          0          0 AAA response han
 520   0          0          0      29944          0          0 Presence Process
 521   0      31120        448      29944          0          0 FLEX DSPRM MAIN 
 522   0          0          0      29944          0          0 FLEX DSP KEEPALI
 421   0        448        448      29944          0          0 BD MACSEC HA CHK
 423   0          0          0      29944          0          0 STP HA IPC flow 
 525   0        448        448      29944          0          0 sdwan admin tech
 253   0          0          0      29944          0          0 Timed Policy act
  33   0          0          0      29944          0          0 IPC Check Queue 
 528   0       2464       2464      29944          0          0 Flash low disk s
 424   0          0          0      29944          0          0 AAA HA          
 530   0        448        448      29944          0          0 ICRM            
 426   0          0          0      29944          0          0 ac_atm_state_eve
 532   0          0          0      29944          0          0 SPA ENTITY Proce
 252   0          0          0      29944          0          0 Prepaid response
 251   0          0          0      29944          0          0 Timer handler fo
 431   0          0          0      29944          0          0 VFI HA Bulk Sync
 218   0          0          0      29944          0          0 ISG CMD HANDLER 
 219   0        448        448      29944          0          0 IP PORTBUNDLE   
  31   0          0          0      29944          0          0 IPC Process leve
  30   0          0          0      29944          0          0 IPC Deferred Por
 136   0          0          0      29944          0          0 IPSEC HA Mgr    
  29   0          0          0      29944          0          0 IPC Periodic Tim
 135   0          0          0      29944          0          0 IKE HA Mgr      
 248   0          0          0      29944          0          0 SSS Feature Time
 134   0          0          0      29944          0          0 IOSXE-RP QFP HA 
 434   0          0          0      29944          0          0 EVPN DEL BLABEL 
 546   0        448        448      29944          0          0 MCPRP UTD Timer 
 547   0          0          0      29944          0          0 Syslog Traps    
 247   0          0          0      29944          0          0 SSS Feature Mana
 549   0          0          0      29944          0          0 Policy HA Timer 
 550   0        448        448      29944          0          0 DAPR RM PROCESS 
 441   0        448        448      29944          0          0 AAA Cached Serve
 106   0          0          0      29944          0          0 100ms check     
 553   0          0          0      29944          0          0 ISSU Utility Pro
 554   0          0          0      29944          0          0 IOSXE-RP Virtual
 555   0          0          0      29944          0          0 IOXNSE IPC Msg P
 556   0          0          0      29944          0          0 IOXNSE IPC Msg P
 222   0          0          0      29944          0          0 IP Lite session 
 558   0          0          0      29944          0          0 IP SLAs ICMP Jit
 559   0          0          0      29944          0          0 IP SLAs Jitter E
  28   0          0          0      29944          0          0 IPC Zone Manager
 223   0        448        448      29944          0          0 IPAM/ODAP Events
  27   0          0          0      29944          0          0 IPC Service NonC
 563   0          0          0      29944          0          0 IP SLAs Ethernet
  26   0          0          0      29944          0          0 IPC Dynamic Cach
 442   0        448        448      29944          0          0 ENABLE AAA      
 455   0          0          0      29944          0          0 EAP Process     
 243   0          0          0      29944          0          0 RIB LM VALIDATE 
 242   0          0          0      29944          0          0 RADIUS Proxy    
  99   0          0          0      29944          0          0 cpf_process_tpQ 
 105   0          0          0      29944          0          0 REDUNDANCY peer 
  25   0          0          0      29944          0          0 Platform appsess
  24   0          0          0      29944          0          0 IPC Mcast Pendin
 239   0        448        448      29944          0          0 PPP Bind        
 238   0        448        448      29944          0          0 PPP SIP         
  23   0          0          0      29944          0          0 IPC Event Notifi
 131   0          0          0      29944          0          0 ACL deny punt se
  22   0          0          0      29944          0          0 ifIndex Receive 
 130   0          0          0      29944          0          0 ACL Log Punt Ser
 129   0          0          0      29944          0          0 IOSXE-RP Punt IP
 236   0          0          0      29944          0          0 PM EPD API      
 235   0          0          0      29944          0          0 AAA EPD HANDLER 
 120   0          0          0      29944          0          0 CHKPT Test clien
 126   0          0          0      29944          0          0 ARP HA          
  21   0          0          0      29944          0          0 IPC Apps Task   
 100   0          0          0      29944          0          0 Environmental Mo
 125   0          0          0      29944          0          0 Network-rf Notif
 124   0          0          0      29944          0          0 DHCPv6 Server HA
 123   0          0          0      29944          0          0 DHCPv6 Relay HA 
 232   0          0          0      29944          0          0 IPv6 ping proces
 231   0        448        448      29944          0          0 PIM register asy
  20   0        448        448      29944          0          0 ATM VC Auto Crea
 101   0          0          0      29944          0          0 RP HA Periodic  
 229   0          0          0      29944          0          0 ICMP event handl
  18   0          0          0      29944          0          0 VACS Background 
 122   0          0          0      29944          0          0 DHCPD HA        
  16   0          0          0      29944          0          0 DB Notification 
 169   0        448        448      29944          0          0 vNIC Hot Process
 414   0        448        448      29944          0          0 PPP NBF         
 362   0          0          0      29944          0          0 PM HA Bulk Sync 
 600   0          0          0      29944          0          0 VDC process     
 601   0          0          0      29944          0          0 trunk conditioni
 121   0          0          0      29944          0          0 DHCPC HA        
 603   0          0          0      29944          0          0 IPC ISSU Version
 604   0          0          0      29944          0          0 IPC ISSU Version
 605   0          0          0      29944          0          0 IPC ISSU Version
 606   0          0          0      29944          0          0 IPC ISSU Version
 607   0          0          0      29944          0          0 IPC ISSU Version
 608   0          0          0      29944          0          0 IPC ISSU Version
 609   0          0          0      29944          0          0 IPC ISSU Version
 610   0          0          0      29944          0          0 IPC ISSU Version
 611   0          0          0      29944          0          0 IPC ISSU Version
 612   0          0          0      29944          0          0 IPC ISSU Version
 613   0          0          0      29944          0          0 IPC ISSU Version
 614   0          0          0      29944          0          0 IPC ISSU Version
 615   0          0          0      29944          0          0 IPC ISSU Version
 616   0          0          0      29944          0          0 IPC ISSU Version
 617   0          0          0      29944          0          0 IPC ISSU Version
 618   0          0          0      29944          0          0 IPC ISSU Version
 619   0          0          0      29944          0          0 IPC ISSU Version
 620   0          0          0      29944          0          0 IPC ISSU Version
 621   0          0          0      29944          0          0 IPC ISSU Version
 622   0          0          0      29944          0          0 IPC ISSU Version
 623   0          0          0      29944          0          0 IPC ISSU Version
 624   0          0          0      29944          0          0 IPC ISSU Version
 625   0          0          0      29944          0          0 IPC ISSU Version
 626   0          0          0      29944          0          0 IPC ISSU Version
 627   0          0          0      29944          0          0 IPC ISSU Version
  61   0          0          0      29944          0          0 SERIAL A'detect 
 629   0          0          0      29944          0          0 IPC ISSU Version
 630   0          0          0      29944          0          0 IPC ISSU Version
 631   0          0          0      29944          0          0 IPC ISSU Version
 632   0          0          0      29944          0          0 IPC ISSU Version
 633   0          0          0      29944          0          0 IPC ISSU Version
 634   0          0          0      29944          0          0 IPC ISSU Version
 635   0          0          0      29944          0          0 IPC ISSU Version
 636   0          0          0      29944          0          0 IPC ISSU Version
 637   0          0          0      29944          0          0 IPC ISSU Version
 638   0          0          0      29944          0          0 IPC ISSU Version
 639   0          0          0      29944          0          0 IPC ISSU Version
 640   0          0          0      29944          0          0 IPC ISSU Version
 641   0          0          0      29944          0          0 IPC ISSU Version
 642   0          0          0      29944          0          0 IPC ISSU Version
 643   0          0          0      29944          0          0 IPC ISSU Version
 644   0          0          0      29944          0          0 IPC ISSU Version
 645   0          0          0      29944          0          0 IPC ISSU Version
 646   0          0          0      29944          0          0 IPC ISSU Version
 647   0          0          0      29944          0          0 IPC ISSU Version
 648   0          0          0      29944          0          0 IPC ISSU Version
 649   0          0          0      29944          0          0 IPC ISSU Version
 650   0          0          0      29944          0          0 IPC ISSU Version
 651   0          0          0      29944          0          0 IPC ISSU Version
 652   0          0          0      29944          0          0 IPC ISSU Version
 653   0          0          0      29944          0          0 IPC ISSU Version
 654   0          0          0      29944          0          0 IPC ISSU Version
 655   0          0          0      29944          0          0 IPC ISSU Version
 656   0          0          0      29944          0          0 IPC ISSU Version
 657   0          0          0      29944          0          0 IPC ISSU Version
 658   0          0          0      29944          0          0 IPC ISSU Version
 659   0          0          0      29944          0          0 IPC ISSU Version
 660   0          0          0      29944          0          0 IPC ISSU Version
 661   0          0          0      29944          0          0 IPC ISSU Version
 662   0          0          0      29944          0          0 IPC ISSU Version
 663   0          0          0      29944          0          0 IPC ISSU Version
 664   0          0          0      29944          0          0 IPC ISSU Version
 665   0          0          0      29944          0          0 IPC ISSU Version
 666   0          0          0      29944          0          0 CWAN OIR IPC Rea
 408   0          0          0      29944          0          0 AToM HA Bulk Syn
  15   0          0          0      29944          0          0 DB Lock Manager 
  14   0          0          0      29944          0          0 IOSXE heartbeat 
   8   0          0          0      29944          0          0 RO Notify Timers
   5   0          0          0      29944          0          0 IPC ISSU Dispatc
 672   0          0          0      29944          0          0 SBC Msg Ack Time
 673   0          0          0      29944          0          0 Inter Chassis Pr
 694   0      10800      25768      29944          0          0 iosp_dmi_syncfd_
  12   0        448        448      29944          0          0 Timers          
 692   0       1272       3640      29944          0          0 iosp_dmi_nesd_pr
 691   0          0          0      29944          0          0 NAT-ROUTE       
  11   0          0          0      29944          0          0 DiscardQ Backgro
 690   0          0          0      29944          0          0 OMP             
 687   0          0          0      29944          0          0 TCP Listener    
 686   0          0          0      29944          0          0 BGP VA          
   4   0          0          0      29944          0          0 Retransmission o
 279   0     410688        232      22456          0          0 SBC initializer 
 415   0        896        448      18392          0          0 PfR BR Learn    
 209   0        408          0      18352          0          0 ADJ NSF process 
  52   0          0          0      17944          0          0 RMI RM Notify Wa
 104   0          0          0      17944          0          0 CEF RRP RF waite
 127   0          0          0      17944          0          0 XDR RRP RF waite
   2   0        448        448      17944          0          0 Load Meter      
 473   0        448        448      17944          0          0 RSCMSM VOLUME MO
 358   0        448        448      17944          0          0 L2X Switching Ev
 440   0          0          0      17944          0          0 EEM MLANG MANAGE
  13   0          0          0      17944          0          0 WATCH_AFS       
   0   0       1368    2244616       1368          0          0 *Sched*         
                                258935576 Total
