device_name,command,protocol,ip_address,age,mac_address,type,interface
R3,show arp,"['""Internet""', '""Internet""', '""Internet""', '""Internet""', '""Internet""', '""Internet""', '""Internet""', '""Internet""']","['""10.1.13.1""', '""10.1.13.3""', '""192.168.10.254""', '""192.168.100.10""', '""192.168.100.50""', '""192.168.100.103""', '""192.168.100.202""', '""192.168.100.254""']","['""168""', '""-""', '""-""', '""1""', '""7""', '""-""', '""2""', '""0""']","['""5000.000a.0001""', '""aabb.cc00.3000""', '""aabb.cc80.3000""', '""107c.61b2.a8f9""', '""c84d.4423.3ec9""', '""aabb.cc00.3030""', '""b6b8.29a4.a752""', '""9483.c446.89ee""']","['""ARPA""', '""ARPA""', '""ARPA""', '""ARPA""', '""ARPA""', '""ARPA""', '""ARPA""', '""ARPA""']","['""Ethernet0/0""', '""Ethernet0/0""', '""Vlan10""', '""Ethernet0/3""', '""Ethernet0/3""', '""Ethernet0/3""', '""Ethernet0/3""', '""Ethernet0/3""']"
R4,show arp,"['""Internet""', '""Internet""', '""Internet""', '""Internet""', '""Internet""', '""Internet""', '""Internet""', '""Internet""']","['""10.1.24.2""', '""10.1.24.4""', '""192.168.20.254""', '""192.168.100.10""', '""192.168.100.50""', '""192.168.100.104""', '""192.168.100.202""', '""192.168.100.254""']","['""145""', '""-""', '""-""', '""1""', '""7""', '""-""', '""2""', '""0""']","['""5000.000b.0001""', '""aabb.cc00.4000""', '""aabb.cc80.4000""', '""107c.61b2.a8f9""', '""c84d.4423.3ec9""', '""aabb.cc00.4030""', '""b6b8.29a4.a752""', '""9483.c446.89ee""']","['""ARPA""', '""ARPA""', '""ARPA""', '""ARPA""', '""ARPA""', '""ARPA""', '""ARPA""', '""ARPA""']","['""Ethernet0/0""', '""Ethernet0/0""', '""Vlan20""', '""Ethernet0/3""', '""Ethernet0/3""', '""Ethernet0/3""', '""Ethernet0/3""', '""Ethernet0/3""']"
