device_name,neighbor_ip,neighbor_as,state,snapshot_id,created_at
R1,10.1.12.2,65001,,2026-03-03_2009,2026-03-29T00:21:55.731507
R1,10.1.12.2,65001,,2026-03-02_2133,2026-03-29T00:21:55.731507
R1,10.1.12.2,65001,,2026-03-02_2246,2026-03-29T00:21:55.731507
R2,10.1.12.1,65000,,2026-03-03_1751,2026-03-29T00:21:55.731507
R2,10.1.12.1,65000,,2026-03-03_1746,2026-03-29T00:21:55.731507
R1,10.1.12.2,65001,,2026-03-03_1940,2026-03-29T00:21:55.731507
R2,10.1.12.1,65000,,2026-03-03_1951,2026-03-29T00:21:55.731507
R2,10.1.12.1,65000,,2026-03-02_2133,2026-03-29T00:21:55.731507
R2,10.1.12.1,65000,,2026-03-03_2009,2026-03-29T00:21:55.731507
R2,10.1.12.1,65000,,2026-03-02_2246,2026-03-29T00:21:55.731507
R1,10.1.12.2,65001,,2026-03-02_2110,2026-03-29T00:21:55.731507
R2,10.1.12.1,65000,,2026-03-02_2127,2026-03-29T00:21:55.731507
R2,10.1.12.1,65000,,2026-03-02_2110,2026-03-29T00:21:55.731507
R1,10.1.12.2,65001,,2026-03-02_2127,2026-03-29T00:21:55.731507
R2,10.1.12.1,65000,,2026-03-03_1754,2026-03-29T00:21:55.731507
R1,10.1.12.2,65001,,2026-03-03_1944,2026-03-29T00:21:55.731507
R1,10.1.12.2,65001,,2026-03-03_1751,2026-03-29T00:21:55.731507
R1,10.1.12.2,65001,,2026-03-03_1746,2026-03-29T00:21:55.731507
R1,10.1.12.2,65001,,2026-03-03_1951,2026-03-29T00:21:55.731507
R2,10.1.12.1,65000,,2026-03-03_1940,2026-03-29T00:21:55.731507
R2,10.1.12.1,65000,,2026-03-03_1944,2026-03-29T00:21:55.731507
R1,10.1.12.2,65001,,2026-03-03_1754,2026-03-29T00:21:55.731507
R4,2.2.2.2,65001,Established,2026-03-05_1627,2026-03-29T00:21:55.731507
R3,1.1.1.1,65000,Established,2026-03-02_2127,2026-03-29T00:21:55.731507
R3,1.1.1.1,65000,Established,2026-03-04_1124,2026-03-29T00:21:55.731507
R3,1.1.1.1,65000,Established,2026-03-21_1850,2026-03-29T00:21:55.731507
R4,2.2.2.2,65001,Established,2026-03-06_0246,2026-03-29T00:21:55.731507
R4,2.2.2.2,65001,Established,2026-03-03_1940,2026-03-29T00:21:55.731507
R3,1.1.1.1,65000,Established,2026-03-02_1810,2026-03-29T00:21:55.731507
R3,1.1.1.1,65000,Established,2026-03-03_1754,2026-03-29T00:21:55.731507
R4,2.2.2.2,65001,Established,2026-03-02_2133,2026-03-29T00:21:55.731507
R4,2.2.2.2,65001,Established,2026-03-02_1829,2026-03-29T00:21:55.731507
R4,2.2.2.2,65001,Established,2026-03-16_1440,2026-03-29T00:21:55.731507
R4,2.2.2.2,65001,Established,2026-03-02_2246,2026-03-29T00:21:55.731507
R4,2.2.2.2,65001,Established,2026-03-03_2009,2026-03-29T00:21:55.731507
R4,2.2.2.2,65001,Established,2026-03-03_1751,2026-03-29T00:21:55.731507
R3,1.1.1.1,65000,Established,2026-03-05_1615,2026-03-29T00:21:55.731507
R3,1.1.1.1,65000,Established,2026-03-02_2110,2026-03-29T00:21:55.731507
R3,1.1.1.1,65000,Established,2026-03-05_1559,2026-03-29T00:21:55.731507
R4,2.2.2.2,65001,Established,2026-03-03_1951,2026-03-29T00:21:55.731507
R4,2.2.2.2,65001,Established,2026-03-05_1918,2026-03-29T00:21:55.731507
R3,1.1.1.1,65000,Established,2026-03-02_1717,2026-03-29T00:21:55.731507
R4,2.2.2.2,65001,Established,2026-03-04_1115,2026-03-29T00:21:55.731507
R4,2.2.2.2,65001,Established,2026-03-03_1746,2026-03-29T00:21:55.731507
R3,1.1.1.1,65000,Established,2026-03-02_2038,2026-03-29T00:21:55.731507
R3,1.1.1.1,65000,Established,2026-03-06_0931,2026-03-29T00:21:55.731507
R4,2.2.2.2,65001,Established,2026-03-04_1109,2026-03-29T00:21:55.731507
R3,1.1.1.1,65000,Established,2026-03-02_1652,2026-03-29T00:21:55.731507
R4,2.2.2.2,65001,Established,2026-03-03_1944,2026-03-29T00:21:55.731507
R4,2.2.2.2,65001,Established,2026-03-16_1414,2026-03-29T00:21:55.731507
R4,2.2.2.2,65001,Idle,2026-03-21_1840,2026-03-29T00:21:55.731507
R3,1.1.1.1,65000,Established,2026-03-02_2246,2026-03-29T00:21:55.731507
R4,2.2.2.2,65001,Established,2026-03-02_1810,2026-03-29T00:21:55.731507
R3,1.1.1.1,65000,Established,2026-03-16_1440,2026-03-29T00:21:55.731507
R3,1.1.1.1,65000,Established,2026-03-02_1829,2026-03-29T00:21:55.731507
R4,2.2.2.2,65001,Established,2026-03-03_1754,2026-03-29T00:21:55.731507
R3,1.1.1.1,65000,Established,2026-03-02_2133,2026-03-29T00:21:55.731507
R3,1.1.1.1,65000,Established,2026-03-03_2009,2026-03-29T00:21:55.731507
R4,2.2.2.2,65001,Established,2026-03-02_2110,2026-03-29T00:21:55.731507
R4,2.2.2.2,65001,Established,2026-03-05_1559,2026-03-29T00:21:55.731507
R3,1.1.1.1,65000,Established,2026-03-03_1751,2026-03-29T00:21:55.731507
R3,1.1.1.1,65000,Established,2026-03-04_1115,2026-03-29T00:21:55.731507
R3,1.1.1.1,65000,Established,2026-03-03_1746,2026-03-29T00:21:55.731507
R3,1.1.1.1,65000,Established,2026-03-05_1918,2026-03-29T00:21:55.731507
R4,2.2.2.2,65001,Established,2026-03-02_1717,2026-03-29T00:21:55.731507
R3,1.1.1.1,65000,Established,2026-03-03_1951,2026-03-29T00:21:55.731507
R4,2.2.2.2,65001,Established,2026-03-02_2038,2026-03-29T00:21:55.731507
R4,2.2.2.2,65001,Established,2026-03-05_1615,2026-03-29T00:21:55.731507
R3,1.1.1.1,65000,Established,2026-03-04_1109,2026-03-29T00:21:55.731507
R4,2.2.2.2,65001,Established,2026-03-06_0931,2026-03-29T00:21:55.731507
R3,1.1.1.1,65000,Established,2026-03-21_1840,2026-03-29T00:21:55.731507
R3,1.1.1.1,65000,Established,2026-03-03_1944,2026-03-29T00:21:55.731507
R4,2.2.2.2,65001,Established,2026-03-02_1652,2026-03-29T00:21:55.731507
R3,1.1.1.1,65000,Established,2026-03-16_1414,2026-03-29T00:21:55.731507
R4,2.2.2.2,65001,Idle,2026-03-21_1850,2026-03-29T00:21:55.731507
R3,1.1.1.1,65000,Established,2026-03-05_1627,2026-03-29T00:21:55.731507
R4,2.2.2.2,65001,Established,2026-03-02_2127,2026-03-29T00:21:55.731507
R4,2.2.2.2,65001,Established,2026-03-04_1124,2026-03-29T00:21:55.731507
R3,1.1.1.1,65000,Established,2026-03-03_1940,2026-03-29T00:21:55.731507
R3,1.1.1.1,65000,Established,2026-03-06_0246,2026-03-29T00:21:55.731507
R4,2.2.2.2,65001,Idle,2026-03-21_1850,2026-03-29T00:21:55.731507
R3,1.1.1.1,65000,0,2026-03-02_2127,2026-03-29T00:21:55.731507
R4,2.2.2.2,65001,0,2026-03-02_2127,2026-03-29T00:21:55.731507
R4,2.2.2.2,65001,0,2026-03-04_1124,2026-03-29T00:21:55.731507
R3,1.1.1.1,65000,0,2026-03-04_1124,2026-03-29T00:21:55.731507
R3,1.1.1.1,65000,0,2026-03-21_1850,2026-03-29T00:21:55.731507
R3,1.1.1.1,65000,0,2026-03-02_1810,2026-03-29T00:21:55.731507
R4,2.2.2.2,65001,0,2026-03-02_1810,2026-03-29T00:21:55.731507
R3,1.1.1.1,65000,0,2026-03-03_1754,2026-03-29T00:21:55.731507
R4,2.2.2.2,65001,0,2026-03-03_1754,2026-03-29T00:21:55.731507
R3,1.1.1.1,65000,0,2026-03-05_1615,2026-03-29T00:21:55.731507
R4,2.2.2.2,65001,0,2026-03-02_2110,2026-03-29T00:21:55.731507
R3,1.1.1.1,65000,0,2026-03-02_2110,2026-03-29T00:21:55.731507
R3,1.1.1.1,65000,0,2026-03-05_1559,2026-03-29T00:21:55.731507
R4,2.2.2.2,65001,0,2026-03-05_1559,2026-03-29T00:21:55.731507
R3,1.1.1.1,65000,0,2026-03-02_1717,2026-03-29T00:21:55.731507
R4,2.2.2.2,65001,0,2026-03-02_1717,2026-03-29T00:21:55.731507
R3,1.1.1.1,65000,0,2026-03-02_2038,2026-03-29T00:21:55.731507
R4,2.2.2.2,65001,0,2026-03-02_2038,2026-03-29T00:21:55.731507
R4,2.2.2.2,65001,0,2026-03-05_1615,2026-03-29T00:21:55.731507
R3,1.1.1.1,65000,0,2026-03-06_0931,2026-03-29T00:21:55.731507
R4,2.2.2.2,65001,0,2026-03-06_0931,2026-03-29T00:21:55.731507
R3,1.1.1.1,65000,0,2026-03-02_1652,2026-03-29T00:21:55.731507
R4,2.2.2.2,65001,0,2026-03-02_1652,2026-03-29T00:21:55.731507
R3,1.1.1.1,65000,0,2026-03-02_2246,2026-03-29T00:21:55.731507
R3,1.1.1.1,65000,0,2026-03-16_1440,2026-03-29T00:21:55.731507
R4,2.2.2.2,65001,0,2026-03-02_2133,2026-03-29T00:21:55.731507
R3,1.1.1.1,65000,0,2026-03-02_1829,2026-03-29T00:21:55.731507
R4,2.2.2.2,65001,0,2026-03-02_1829,2026-03-29T00:21:55.731507
R4,2.2.2.2,65001,0,2026-03-16_1440,2026-03-29T00:21:55.731507
R4,2.2.2.2,65001,0,2026-03-02_2246,2026-03-29T00:21:55.731507
R3,1.1.1.1,65000,0,2026-03-02_2133,2026-03-29T00:21:55.731507
R3,1.1.1.1,65000,0,2026-03-03_2009,2026-03-29T00:21:55.731507
R4,2.2.2.2,65001,0,2026-03-03_2009,2026-03-29T00:21:55.731507
R4,2.2.2.2,65001,0,2026-03-03_1751,2026-03-29T00:21:55.731507
R4,2.2.2.2,65001,0,2026-03-03_1951,2026-03-29T00:21:55.731507
R4,2.2.2.2,65001,0,2026-03-05_1918,2026-03-29T00:21:55.731507
R3,1.1.1.1,65000,0,2026-03-03_1751,2026-03-29T00:21:55.731507
R3,1.1.1.1,65000,0,2026-03-04_1115,2026-03-29T00:21:55.731507
R3,1.1.1.1,65000,0,2026-03-03_1746,2026-03-29T00:21:55.731507
R4,2.2.2.2,65001,0,2026-03-04_1115,2026-03-29T00:21:55.731507
R3,1.1.1.1,65000,0,2026-03-05_1918,2026-03-29T00:21:55.731507
R4,2.2.2.2,65001,0,2026-03-03_1746,2026-03-29T00:21:55.731507
R3,1.1.1.1,65000,0,2026-03-03_1951,2026-03-29T00:21:55.731507
R3,1.1.1.1,65000,0,2026-03-04_1109,2026-03-29T00:21:55.731507
R4,2.2.2.2,65001,0,2026-03-04_1109,2026-03-29T00:21:55.731507
R4,2.2.2.2,65001,0,2026-03-03_1944,2026-03-29T00:21:55.731507
R3,1.1.1.1,65000,0,2026-03-21_1840,2026-03-29T00:21:55.731507
R2,4.4.4.4,65001,Idle,2026-03-19_2026,2026-03-29T00:21:55.731507
R2,10.1.12.1,65000,0,2026-03-19_2026,2026-03-29T00:21:55.731507
R3,1.1.1.1,65000,0,2026-03-03_1944,2026-03-29T00:21:55.731507
R3,1.1.1.1,65000,0,2026-03-16_1414,2026-03-29T00:21:55.731507
R4,2.2.2.2,65001,0,2026-03-16_1414,2026-03-29T00:21:55.731507
R4,2.2.2.2,65001,Idle,2026-03-21_1840,2026-03-29T00:21:55.731507
R4,2.2.2.2,65001,0,2026-03-05_1627,2026-03-29T00:21:55.731507
R3,1.1.1.1,65000,0,2026-03-05_1627,2026-03-29T00:21:55.731507
R3,1.1.1.1,65000,0,2026-03-03_1940,2026-03-29T00:21:55.731507
R4,2.2.2.2,65001,0,2026-03-06_0246,2026-03-29T00:21:55.731507
R3,1.1.1.1,65000,0,2026-03-06_0246,2026-03-29T00:21:55.731507
R4,2.2.2.2,65001,0,2026-03-03_1940,2026-03-29T00:21:55.731507
