hostname,ip,vendor,model,site,ios_version,status
R1,192.168.100.101,,,lab,,True
R2,192.168.100.102,,,lab,,True
R3,192.168.100.103,,,lab,,True
R4,192.168.100.104,,,lab,,True
SW1,192.168.100.105,,,lab,,True
SW2,192.168.100.106,,,lab,,True
