command_name,platform
show version,cisco_asa
show vpn-sessiondb,cisco_asa
show vpn-sessiondb anyconnect,cisco_asa
show vpn-sessiondb detail l2l,cisco_asa
show xlate,cisco_asa
show vpn-sessiondb anyconnect,cisco_ftd
show system firmware,cisco_fxos
dir,cisco_ios
ping,cisco_ios
show access-list,cisco_ios
show access-session,cisco_ios
show adjacency,cisco_ios
show alert counters,cisco_ios
show aliases,cisco_ios
show ap cdp neighbors,cisco_ios
show ap summary,cisco_ios
show archive,cisco_ios
show arp,cisco_ios
show authentication sessions,cisco_ios
show authentication sessions method details,cisco_ios
show bfd neighbors details,cisco_ios
show boot,cisco_ios
show capability feature routing,cisco_ios
show cdp neighbors,cisco_ios
show cdp neighbors detail,cisco_ios
show clock,cisco_ios
show controller t1,cisco_ios
show crypto ipsec sa detail,cisco_ios
show crypto pki certificates,cisco_ios
show crypto session detail,cisco_ios
show cts credentials,cisco_ios
show cts pacs,cisco_ios
show dhcp lease,cisco_ios
show dmvpn,cisco_ios
show dot1x all,cisco_ios
show environment power all,cisco_ios
show environment temperature,cisco_ios
show etherchannel summary,cisco_ios
show file systems,cisco_ios
show hosts summary,cisco_ios
show interface link,cisco_ios
show interface transceiver,cisco_ios
show interfaces,cisco_ios
show interfaces description,cisco_ios
show interfaces status,cisco_ios
show interfaces switchport,cisco_ios
show inventory,cisco_ios
show ip access-lists,cisco_ios
show ip arp,cisco_ios
show ip bgp,cisco_ios
show ip bgp neighbors,cisco_ios
show ip bgp neighbors advertised-routes,cisco_ios
show ip bgp summary,cisco_ios
show ip bgp vpnv4 all neighbors,cisco_ios
show ip cef,cisco_ios
show ip cef detail,cisco_ios
show ip device tracking all,cisco_ios
show ip dhcp binding,cisco_ios
show ip dhcp snooping binding,cisco_ios
show ip eigrp interfaces detail,cisco_ios
show ip eigrp neighbors,cisco_ios
show ip eigrp neighbors detail,cisco_ios
show ip eigrp topology,cisco_ios
show ip flow toptalkers,cisco_ios
show ip http server status,cisco_ios
show ip interface,cisco_ios
show ip interface brief,cisco_ios
show ip mroute,cisco_ios
show ip nat translations,cisco_ios
show ip ospf database,cisco_ios
show ip ospf database network,cisco_ios
show ip ospf database router,cisco_ios
show ip ospf interface brief,cisco_ios
show ip ospf neighbor,cisco_ios
show ip ospf neighbor detail,cisco_ios
show ip prefix-list,cisco_ios
show ip route,cisco_ios
show ip route summary,cisco_ios
show ip source binding,cisco_ios
show ip vrf interfaces,cisco_ios
show ipv6 access-lists,cisco_ios
show ipv6 interface brief,cisco_ios
show ipv6 neighbors,cisco_ios
show ipv6 route,cisco_ios
show isdn status,cisco_ios
show isis neighbors,cisco_ios
show license,cisco_ios
show license status,cisco_ios
show lldp neighbors,cisco_ios
show lldp neighbors detail,cisco_ios
show logging,cisco_ios
show mac-address-table,cisco_ios
show module,cisco_ios
show module online diag,cisco_ios
show module status,cisco_ios
show module submodule,cisco_ios
show mpls interfaces,cisco_ios
show mpls l2transport vc,cisco_ios
show nve peers,cisco_ios
show nve vni,cisco_ios
show object-group,cisco_ios
show platform,cisco_ios
show platform diag,cisco_ios
show policy-map,cisco_ios
show port-security interface interface,cisco_ios
show power available,cisco_ios
show power inline,cisco_ios
show power status,cisco_ios
show power supplies,cisco_ios
show power used,cisco_ios
show processes cpu,cisco_ios
show processes memory sorted,cisco_ios
show redundancy,cisco_ios
show rep topology,cisco_ios
show route-map,cisco_ios
show running config,cisco_ios
show running-config,cisco_ios
show running-config partition access-list,cisco_ios
show running-config partition route-map,cisco_ios
show snmp community,cisco_ios
show snmp group,cisco_ios
show snmp user,cisco_ios
show spanning-tree,cisco_ios
show spanning-tree root,cisco_ios
show stack-power,cisco_ios
show standby,cisco_ios
show standby brief,cisco_ios
show switch detail,cisco_ios
show switch detail stack ports,cisco_ios
show switch virtual,cisco_ios
show tacacs,cisco_ios
show users,cisco_ios
show version,cisco_ios
show vlan,cisco_ios
show vlan group,cisco_ios
show vlans,cisco_ios
show vrf,cisco_ios
show vrf detail,cisco_ios
show vrrp all,cisco_ios
show vrrp brief,cisco_ios
show vtp status,cisco_ios
show wireless tag policy summary,cisco_ios
traceroute,cisco_ios
show bridge-settings,cisco_nvfis
show configuration commit changes,cisco_nvfis
show nic,cisco_nvfis
show running-config snmp enable,cisco_nvfis
show running-config snmp group,cisco_nvfis
show running-config snmp host,cisco_nvfis
show running-config snmp user,cisco_nvfis
show running-config system settings,cisco_nvfis
show running-config system time,cisco_nvfis
show running-config system upgrade,cisco_nvfis
show version,cisco_nvfis
dir,cisco_nxos
show access-lists,cisco_nxos
show bfd neighbors,cisco_nxos
show bgp vrf all ipv4 unicast detail,cisco_nxos
show bgp vrf all ipv4 unicast neighbors routes,cisco_nxos
show cdp neighbors,cisco_nxos
show cdp neighbors detail,cisco_nxos
show clock,cisco_nxos
show configuration session summary,cisco_nxos
show cts interface all,cisco_nxos
show cts interface brief,cisco_nxos
show environment,cisco_nxos
show environment temperature,cisco_nxos
show fabricpath route,cisco_nxos
show feature,cisco_nxos
show fex,cisco_nxos
show fex id,cisco_nxos
show flogi database,cisco_nxos
show forwarding adjacency,cisco_nxos
show forwarding ipv4 route,cisco_nxos
show hardware internal bigsur all-ports detail,cisco_nxos
show hostname,cisco_nxos
show hsrp all,cisco_nxos
show interface,cisco_nxos
show interface brief,cisco_nxos
show interface description,cisco_nxos
