device_id,name,hostname,platform,mgmt_ip,device_type,device_role,site,location,vendor,model,site_id,created_at,updated_at,is_active
R1,R1,192.168.100.101,juniper_junos,192.168.100.101,,border,lab,,,,,2026-03-05T19:16:47.404278,2026-03-06T00:42:41.335305,True
R2,R2,192.168.100.102,juniper_junos,192.168.100.102,,border,lab,,,,,2026-03-05T19:16:47.412132,2026-03-06T00:42:41.350858,True
R3,R3,192.168.100.103,cisco_ios,192.168.100.103,,core,lab,,,,,2026-03-05T19:16:47.419207,2026-03-06T00:42:41.356642,True
R4,R4,192.168.100.104,cisco_ios,192.168.100.104,,core,lab,,,,,2026-03-05T19:16:47.426105,2026-03-06T00:42:41.361885,True
SW1,SW1,192.168.100.105,cisco_ios,192.168.100.105,,access,lab,,,,,2026-03-05T19:16:47.433346,2026-03-06T00:42:41.367453,True
SW2,SW2,192.168.100.106,cisco_ios,192.168.100.106,,access,lab,,,,,2026-03-05T19:16:47.439188,2026-03-06T00:42:41.372759,True
