device_name,interface,ip_address
R2,fxp0,
R2,fxp0,
R2,fxp0,
R2,fxp0,
R2,fxp0,
R2,fxp0,
R2,fxp0,
R2,fxp0,
R2,fxp0,
R2,fxp0,
R2,ge-0/0/0,
R2,ge-0/0/0,
R2,ge-0/0/0,
R2,ge-0/0/0,
R2,ge-0/0/0,
R2,ge-0/0/0,
R2,ge-0/0/0,
R2,ge-0/0/0,
R2,ge-0/0/0,
R2,ge-0/0/0,
R2,ge-0/0/1,
R2,ge-0/0/1,
R2,ge-0/0/1,
R2,ge-0/0/1,
R2,ge-0/0/1,
R2,ge-0/0/1,
R2,ge-0/0/1,
R2,ge-0/0/1,
R2,ge-0/0/1,
R2,ge-0/0/1,
R2,ge-0/0/2,
R2,ge-0/0/2,
R2,ge-0/0/2,
R2,ge-0/0/2,
R2,ge-0/0/2,
R2,ge-0/0/2,
R2,ge-0/0/2,
R2,ge-0/0/2,
R2,ge-0/0/2,
R2,ge-0/0/2,
R2,gr-0/0/0,
R2,gr-0/0/0,
R2,gr-0/0/0,
R2,gr-0/0/0,
R2,gr-0/0/0,
R2,gr-0/0/0,
R2,gr-0/0/0,
R2,gr-0/0/0,
R2,gr-0/0/0,
R2,gr-0/0/0,
R2,gre,
R2,gre,
R2,gre,
R2,gre,
R2,gre,
R2,gre,
R2,gre,
R2,gre,
R2,gre,
R2,gre,
R2,ip-0/0/0,
R2,ip-0/0/0,
R2,ip-0/0/0,
R2,ip-0/0/0,
R2,ip-0/0/0,
R2,ip-0/0/0,
R2,ip-0/0/0,
R2,ip-0/0/0,
R2,ip-0/0/0,
R2,ip-0/0/0,
R2,ipip,
R2,ipip,
R2,ipip,
R2,ipip,
R2,ipip,
R2,ipip,
R2,ipip,
R2,ipip,
R2,ipip,
R2,ipip,
R2,irb,
R2,irb,
R2,irb,
R2,irb,
R2,irb,
R2,irb,
R2,irb,
R2,irb,
R2,irb,
R2,irb,
R2,lo0,
R2,lo0,
R2,lo0,
R2,lo0,
R2,lo0,
R2,lo0,
R2,lo0,
R2,lo0,
R2,lo0,
R2,lo0,
R2,lsi,
R2,lsi,
R2,lsi,
R2,lsi,
R2,lsi,
R2,lsi,
R2,lsi,
R2,lsi,
R2,lsi,
R2,lsi,
R2,lsq-0/0/0,
R2,lsq-0/0/0,
R2,lsq-0/0/0,
R2,lsq-0/0/0,
R2,lsq-0/0/0,
R2,lsq-0/0/0,
R2,lsq-0/0/0,
R2,lsq-0/0/0,
R2,lsq-0/0/0,
R2,lsq-0/0/0,
R2,lt-0/0/0,
R2,lt-0/0/0,
R2,lt-0/0/0,
R2,lt-0/0/0,
R2,lt-0/0/0,
R2,lt-0/0/0,
R2,lt-0/0/0,
R2,lt-0/0/0,
R2,lt-0/0/0,
R2,lt-0/0/0,
R2,mt-0/0/0,
R2,mt-0/0/0,
R2,mt-0/0/0,
R2,mt-0/0/0,
R2,mt-0/0/0,
R2,mt-0/0/0,
R2,mt-0/0/0,
R2,mt-0/0/0,
R2,mt-0/0/0,
R2,mt-0/0/0,
R2,mtun,
R2,mtun,
R2,mtun,
R2,mtun,
R2,mtun,
R2,mtun,
R2,mtun,
R2,mtun,
R2,mtun,
R2,mtun,
R2,pimd,
R2,pimd,
R2,pimd,
R2,pimd,
R2,pimd,
R2,pimd,
R2,pimd,
R2,pimd,
R2,pimd,
R2,pimd,
R2,pime,
R2,pime,
R2,pime,
R2,pime,
R2,pime,
R2,pime,
R2,pime,
R2,pime,
R2,pime,
R2,pime,
R2,pp0,
R2,pp0,
R2,pp0,
R2,pp0,
R2,pp0,
R2,pp0,
R2,pp0,
R2,pp0,
R2,pp0,
R2,pp0,
R2,ppd0,
R2,ppd0,
R2,ppd0,
R2,ppd0,
R2,ppd0,
R2,ppd0,
R2,ppd0,
R2,ppd0,
R2,ppd0,
R2,ppd0,
R2,ppe0,
R2,ppe0,
R2,ppe0,
R2,ppe0,
R2,ppe0,
R2,ppe0,
R2,ppe0,
R2,ppe0,
R2,ppe0,
R2,ppe0,
R2,sp-0/0/0,
R2,sp-0/0/0,
R2,sp-0/0/0,
R2,sp-0/0/0,
R2,sp-0/0/0,
R2,sp-0/0/0,
R2,sp-0/0/0,
R2,sp-0/0/0,
R2,sp-0/0/0,
R2,sp-0/0/0,
R2,st0,
R2,st0,
R2,st0,
R2,st0,
R2,st0,
R2,st0,
R2,st0,
R2,st0,
R2,st0,
R2,st0,
R2,tap,
R2,tap,
R2,tap,
R2,tap,
R2,tap,
R2,tap,
R2,tap,
R2,tap,
R2,tap,
R2,tap,
R2,vlan,
R2,vlan,
R2,vlan,
R2,vlan,
R2,vlan,
R2,vlan,
R2,vlan,
R2,vlan,
R2,vlan,
R2,vlan,
R2,vtep,
R2,vtep,
R2,vtep,
R2,vtep,
R2,vtep,
R2,vtep,
R2,vtep,
R2,vtep,
R2,vtep,
R2,vtep,
R3,Et0/0,
R3,Et0/0,
R3,Et0/0,
R3,Et0/0,
R3,Et0/0,
R3,Et0/0,
R3,Et0/0,
R3,Et0/0,
R3,Et0/0,
R3,Et0/0,
R3,Et0/0,
R3,Et0/0,
R3,Et0/0,
R3,Et0/0,
R3,Et0/0,
R3,Et0/0,
R3,Et0/0,
R3,Et0/0,
R3,Et0/0,
R3,Et0/0,
R3,Et0/0,
R3,Et0/0,
R3,Et0/0,
R3,Et0/0,
R3,Et0/0,
R3,Et0/0,
R3,Et0/0,
R3,Et0/0,
R3,Et0/0,
R3,Et0/0,
R3,Et0/0,
R3,Et0/0,
R3,Et0/0,
R3,Et0/0,
R3,Et0/0,
R3,Et0/0,
R3,Et0/0,
R3,Et0/0,
R3,Et0/0,
R3,Et0/0,
R3,Et0/0,
R3,Et0/0,
R3,Et0/0,
R3,Et0/0,
R3,Et0/0,
R3,Et0/0,
R3,Et0/0,
R3,Et0/0,
R3,Et0/1,
R3,Et0/1,
R3,Et0/1,
R3,Et0/1,
R3,Et0/1,
R3,Et0/1,
R3,Et0/1,
R3,Et0/1,
R3,Et0/1,
R3,Et0/1,
R3,Et0/1,
R3,Et0/1,
R3,Et0/1,
R3,Et0/1,
R3,Et0/1,
R3,Et0/1,
R3,Et0/1,
R3,Et0/1,
R3,Et0/1,
R3,Et0/1,
R3,Et0/1,
R3,Et0/1,
R3,Et0/1,
R3,Et0/1,
R3,Et0/1,
R3,Et0/1,
R3,Et0/1,
R3,Et0/1,
R3,Et0/1,
R3,Et0/1,
R3,Et0/1,
R3,Et0/1,
R3,Et0/1,
R3,Et0/1,
R3,Et0/1,
R3,Et0/1,
R3,Et0/1,
R3,Et0/1,
R3,Et0/1,
R3,Et0/1,
R3,Et0/1,
R3,Et0/1,
R3,Et0/1,
R3,Et0/1,
R3,Et0/1,
R3,Et0/1,
R3,Et0/1,
R3,Et0/1,
R3,Et0/2,
R3,Et0/2,
R3,Et0/2,
R3,Et0/2,
R3,Et0/2,
R3,Et0/2,
R3,Et0/2,
R3,Et0/2,
R3,Et0/2,
R3,Et0/2,
R3,Et0/2,
R3,Et0/2,
R3,Et0/2,
R3,Et0/2,
