device_name,interface,ip_address,admin_status,line_status,snapshot_id,created_at
R1,dsc,,Enabled,Up,2026-03-03_1746,2026-03-05T19:22:21.323077
R1,dsc,,Enabled,Up,2026-03-03_1754,2026-03-05T19:22:21.323077
R1,dsc,,Enabled,Up,2026-03-03_2009,2026-03-05T19:22:21.323077
R1,dsc,,Enabled,Up,2026-03-03_1951,2026-03-05T19:22:21.323077
R1,dsc,,Enabled,Up,2026-03-03_1944,2026-03-05T19:22:21.323077
R1,dsc,,Enabled,Up,2026-03-02_2127,2026-03-05T19:22:21.323077
R1,dsc,,Enabled,Up,2026-03-02_2246,2026-03-05T19:22:21.323077
R1,dsc,,Enabled,Up,2026-03-02_2133,2026-03-05T19:22:21.323077
R1,dsc,,Enabled,Up,2026-03-03_1940,2026-03-05T19:22:21.323077
R1,dsc,,Enabled,Up,2026-03-03_1751,2026-03-05T19:22:21.323077
R1,em0,,Enabled,Up,2026-03-02_2133,2026-03-05T19:22:21.323077
R1,em0,,Enabled,Up,2026-03-03_1746,2026-03-05T19:22:21.323077
R1,em0,,Enabled,Up,2026-03-02_2127,2026-03-05T19:22:21.323077
R1,em0,,Enabled,Up,2026-03-03_2009,2026-03-05T19:22:21.323077
R1,em0,,Enabled,Up,2026-03-02_2246,2026-03-05T19:22:21.323077
R1,em0,,Enabled,Up,2026-03-03_1951,2026-03-05T19:22:21.323077
R1,em0,,Enabled,Up,2026-03-03_1754,2026-03-05T19:22:21.323077
R1,em0,,Enabled,Up,2026-03-03_1940,2026-03-05T19:22:21.323077
R1,em0,,Enabled,Up,2026-03-03_1751,2026-03-05T19:22:21.323077
R1,em0,,Enabled,Up,2026-03-03_1944,2026-03-05T19:22:21.323077
R1,em1,,Enabled,Up,2026-03-03_1746,2026-03-05T19:22:21.323077
R1,em1,,Enabled,Up,2026-03-02_2133,2026-03-05T19:22:21.323077
R1,em1,,Enabled,Up,2026-03-03_1754,2026-03-05T19:22:21.323077
R1,em1,,Enabled,Up,2026-03-02_2246,2026-03-05T19:22:21.323077
R1,em1,,Enabled,Up,2026-03-03_1951,2026-03-05T19:22:21.323077
R1,em1,,Enabled,Up,2026-03-03_2009,2026-03-05T19:22:21.323077
R1,em1,,Enabled,Up,2026-03-03_1944,2026-03-05T19:22:21.323077
R1,em1,,Enabled,Up,2026-03-03_1751,2026-03-05T19:22:21.323077
R1,em1,,Enabled,Up,2026-03-02_2127,2026-03-05T19:22:21.323077
R1,em1,,Enabled,Up,2026-03-03_1940,2026-03-05T19:22:21.323077
R1,em2,,Enabled,Down,2026-03-02_2133,2026-03-05T19:22:21.323077
R1,em2,,Enabled,Down,2026-03-03_1746,2026-03-05T19:22:21.323077
