command_name,platform,category,template_path,has_template,allowed,blacklisted,pipe_allowed,updated_at
show etherchannel summary,cisco_ios,general,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_etherchannel_summary.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show file systems,cisco_ios,general,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_file_systems.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show hosts summary,cisco_ios,general,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_hosts_summary.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show module online diag,cisco_ios,general,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_module_online_diag.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show ip prefix-list,cisco_ios,general,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_ip_prefix-list.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show module status,cisco_ios,general,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_module_status.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show module submodule,cisco_ios,general,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_module_submodule.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show ip source binding,cisco_ios,general,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_ip_source_binding.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show snmp community,cisco_ios,general,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_snmp_community.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show snmp group,cisco_ios,general,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_snmp_group.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show stack-power,cisco_ios,general,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_stack-power.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
show ip arp,cisco_ios,general,/home/yhvh/Olav/.venv/lib/python3.12/site-packages/ntc_templates/templates/cisco_ios_show_ip_arp.textfsm,True,True,False,False,2026-02-27T18:49:53.344052
