device_name,interface,ip_address,admin_status,line_status,snapshot_id,created_at
R4,Ethernet0/0,10.1.24.4,up,up,2026-03-03_1754,2026-03-05T19:22:21.323077
R4,Ethernet0/1,,up,up,2026-03-03_1754,2026-03-05T19:22:21.323077
R4,Ethernet0/2,,up,up,2026-03-03_1754,2026-03-05T19:22:21.323077
R4,Ethernet0/3,192.168.100.104,up,up,2026-03-03_1754,2026-03-05T19:22:21.323077
R4,Loopback0,4.4.4.4,up,up,2026-03-03_1754,2026-03-05T19:22:21.323077
R4,Vlan20,192.168.20.254,up,up,2026-03-03_1754,2026-03-05T19:22:21.323077
R4,Ethernet0/0,10.1.24.4,up,up,2026-03-02_1810,2026-03-05T19:22:21.323077
R4,Ethernet0/1,,up,up,2026-03-02_1810,2026-03-05T19:22:21.323077
R4,Ethernet0/2,,up,up,2026-03-02_1810,2026-03-05T19:22:21.323077
R4,Ethernet0/3,192.168.100.104,up,up,2026-03-02_1810,2026-03-05T19:22:21.323077
R4,Loopback0,4.4.4.4,up,up,2026-03-02_1810,2026-03-05T19:22:21.323077
R4,Vlan20,192.168.20.254,up,up,2026-03-02_1810,2026-03-05T19:22:21.323077
R4,Ethernet0/0,10.1.24.4,up,up,2026-03-05_1559,2026-03-05T19:22:21.323077
R4,Ethernet0/1,,up,up,2026-03-05_1559,2026-03-05T19:22:21.323077
R4,Ethernet0/2,,up,up,2026-03-05_1559,2026-03-05T19:22:21.323077
R4,Ethernet0/3,192.168.100.104,up,up,2026-03-05_1559,2026-03-05T19:22:21.323077
R4,Loopback0,4.4.4.4,up,up,2026-03-05_1559,2026-03-05T19:22:21.323077
R4,Vlan20,192.168.20.254,up,up,2026-03-05_1559,2026-03-05T19:22:21.323077
R4,Ethernet0/0,10.1.24.4,up,up,2026-03-02_2038,2026-03-05T19:22:21.323077
R4,Ethernet0/1,,up,up,2026-03-02_2038,2026-03-05T19:22:21.323077
R4,Ethernet0/2,,up,up,2026-03-02_2038,2026-03-05T19:22:21.323077
R4,Ethernet0/3,192.168.100.104,up,up,2026-03-02_2038,2026-03-05T19:22:21.323077
R4,Loopback0,4.4.4.4,up,up,2026-03-02_2038,2026-03-05T19:22:21.323077
R4,Vlan20,192.168.20.254,up,up,2026-03-02_2038,2026-03-05T19:22:21.323077
R4,Ethernet0/0,10.1.24.4,up,up,2026-03-05_1615,2026-03-05T19:22:21.323077
R4,Ethernet0/1,,up,up,2026-03-05_1615,2026-03-05T19:22:21.323077
R4,Ethernet0/2,,up,up,2026-03-05_1615,2026-03-05T19:22:21.323077
R4,Ethernet0/3,192.168.100.104,up,up,2026-03-05_1615,2026-03-05T19:22:21.323077
R4,Loopback0,4.4.4.4,up,up,2026-03-05_1615,2026-03-05T19:22:21.323077
R4,Vlan20,192.168.20.254,up,up,2026-03-05_1615,2026-03-05T19:22:21.323077
R4,Ethernet0/0,10.1.24.4,up,up,2026-03-02_1717,2026-03-05T19:22:21.323077
R4,Ethernet0/1,,up,up,2026-03-02_1717,2026-03-05T19:22:21.323077
R4,Ethernet0/2,,up,up,2026-03-02_1717,2026-03-05T19:22:21.323077
R4,Ethernet0/3,192.168.100.104,up,up,2026-03-02_1717,2026-03-05T19:22:21.323077
R4,Loopback0,4.4.4.4,up,up,2026-03-02_1717,2026-03-05T19:22:21.323077
R4,Vlan20,192.168.20.254,up,up,2026-03-02_1717,2026-03-05T19:22:21.323077
R4,Ethernet0/0,10.1.24.4,up,up,2026-03-02_2110,2026-03-05T19:22:21.323077
R4,Ethernet0/1,,up,up,2026-03-02_2110,2026-03-05T19:22:21.323077
R4,Ethernet0/2,,up,up,2026-03-02_2110,2026-03-05T19:22:21.323077
R4,Ethernet0/3,192.168.100.104,up,up,2026-03-02_2110,2026-03-05T19:22:21.323077
R4,Loopback0,4.4.4.4,up,up,2026-03-02_2110,2026-03-05T19:22:21.323077
R4,Vlan20,192.168.20.254,up,up,2026-03-02_2110,2026-03-05T19:22:21.323077
