device_name,command,snapshot_id
R1,show bgp summary,2026-03-02_2110
R1,show bgp summary,2026-03-02_2127
R1,show bgp summary,2026-03-02_2133
R1,show bgp summary,2026-03-02_2246
R1,show bgp summary,2026-03-03_1746
R1,show bgp summary,2026-03-03_1751
R1,show bgp summary,2026-03-03_1754
R1,show bgp summary,2026-03-03_1940
R1,show bgp summary,2026-03-03_1944
R1,show bgp summary,2026-03-03_1951
R1,show bgp summary,2026-03-03_2009
R2,show bgp summary,2026-03-02_2110
R2,show bgp summary,2026-03-02_2127
R2,show bgp summary,2026-03-02_2133
R2,show bgp summary,2026-03-02_2246
R2,show bgp summary,2026-03-03_1746
R2,show bgp summary,2026-03-03_1751
R2,show bgp summary,2026-03-03_1754
R2,show bgp summary,2026-03-03_1940
R2,show bgp summary,2026-03-03_1944
R2,show bgp summary,2026-03-03_1951
R2,show bgp summary,2026-03-03_2009
R3,show ip bgp,2026-03-02_1652
R3,show ip bgp neighbors,2026-03-02_1652
R3,show ip bgp summary,2026-03-02_1652
R3,show ip bgp,2026-03-02_1717
R3,show ip bgp neighbors,2026-03-02_1717
R3,show ip bgp summary,2026-03-02_1717
R3,show ip bgp,2026-03-02_1810
R3,show ip bgp neighbors,2026-03-02_1810
R3,show ip bgp summary,2026-03-02_1810
R3,show ip bgp,2026-03-02_1829
R3,show ip bgp neighbors,2026-03-02_1829
R3,show ip bgp summary,2026-03-02_1829
R3,show ip bgp,2026-03-02_2038
R3,show ip bgp neighbors,2026-03-02_2038
R3,show ip bgp summary,2026-03-02_2038
R3,show ip bgp,2026-03-02_2110
R3,show ip bgp neighbors,2026-03-02_2110
R3,show ip bgp summary,2026-03-02_2110
R3,show ip bgp,2026-03-02_2127
R3,show ip bgp neighbors,2026-03-02_2127
R3,show ip bgp summary,2026-03-02_2127
R3,show ip bgp,2026-03-02_2133
R3,show ip bgp neighbors,2026-03-02_2133
R3,show ip bgp summary,2026-03-02_2133
R3,show ip bgp,2026-03-02_2246
R3,show ip bgp neighbors,2026-03-02_2246
R3,show ip bgp summary,2026-03-02_2246
R3,show ip bgp,2026-03-03_1746
R3,show ip bgp neighbors,2026-03-03_1746
R3,show ip bgp summary,2026-03-03_1746
R3,show ip bgp,2026-03-03_1751
R3,show ip bgp neighbors,2026-03-03_1751
R3,show ip bgp summary,2026-03-03_1751
R3,show ip bgp,2026-03-03_1754
R3,show ip bgp neighbors,2026-03-03_1754
R3,show ip bgp summary,2026-03-03_1754
R3,show ip bgp,2026-03-03_1940
R3,show ip bgp neighbors,2026-03-03_1940
R3,show ip bgp summary,2026-03-03_1940
R3,show ip bgp,2026-03-03_1944
R3,show ip bgp neighbors,2026-03-03_1944
R3,show ip bgp summary,2026-03-03_1944
R3,show ip bgp,2026-03-03_1951
R3,show ip bgp neighbors,2026-03-03_1951
R3,show ip bgp summary,2026-03-03_1951
R3,show ip bgp,2026-03-03_2009
R3,show ip bgp neighbors,2026-03-03_2009
R3,show ip bgp summary,2026-03-03_2009
R3,show ip bgp,2026-03-04_1109
R3,show ip bgp neighbors,2026-03-04_1109
R3,show ip bgp summary,2026-03-04_1109
R3,show ip bgp,2026-03-04_1115
R3,show ip bgp neighbors,2026-03-04_1115
R3,show ip bgp summary,2026-03-04_1115
R3,show ip bgp,2026-03-04_1124
R3,show ip bgp neighbors,2026-03-04_1124
R3,show ip bgp summary,2026-03-04_1124
R3,show ip bgp,2026-03-05_1559
R3,show ip bgp neighbors,2026-03-05_1559
R3,show ip bgp summary,2026-03-05_1559
R3,show ip bgp,2026-03-05_1615
R3,show ip bgp neighbors,2026-03-05_1615
R3,show ip bgp summary,2026-03-05_1615
R3,show ip bgp,2026-03-05_1627
R3,show ip bgp neighbors,2026-03-05_1627
R3,show ip bgp summary,2026-03-05_1627
R3,show ip bgp,2026-03-05_1918
R3,show ip bgp neighbors,2026-03-05_1918
R3,show ip bgp summary,2026-03-05_1918
R3,show ip bgp,2026-03-06_0246
R3,show ip bgp neighbors,2026-03-06_0246
R3,show ip bgp summary,2026-03-06_0246
R3,show ip bgp,2026-03-06_0931
R3,show ip bgp neighbors,2026-03-06_0931
R3,show ip bgp summary,2026-03-06_0931
R4,show ip bgp,2026-03-02_1652
R4,show ip bgp neighbors,2026-03-02_1652
R4,show ip bgp summary,2026-03-02_1652
R4,show ip bgp,2026-03-02_1717
R4,show ip bgp neighbors,2026-03-02_1717
R4,show ip bgp summary,2026-03-02_1717
R4,show ip bgp,2026-03-02_1810
R4,show ip bgp neighbors,2026-03-02_1810
R4,show ip bgp summary,2026-03-02_1810
R4,show ip bgp,2026-03-02_1829
R4,show ip bgp neighbors,2026-03-02_1829
R4,show ip bgp summary,2026-03-02_1829
R4,show ip bgp,2026-03-02_2038
R4,show ip bgp neighbors,2026-03-02_2038
R4,show ip bgp summary,2026-03-02_2038
R4,show ip bgp,2026-03-02_2110
R4,show ip bgp neighbors,2026-03-02_2110
R4,show ip bgp summary,2026-03-02_2110
R4,show ip bgp,2026-03-02_2127
R4,show ip bgp neighbors,2026-03-02_2127
R4,show ip bgp summary,2026-03-02_2127
R4,show ip bgp,2026-03-02_2133
R4,show ip bgp neighbors,2026-03-02_2133
R4,show ip bgp summary,2026-03-02_2133
R4,show ip bgp,2026-03-02_2246
R4,show ip bgp neighbors,2026-03-02_2246
R4,show ip bgp summary,2026-03-02_2246
R4,show ip bgp,2026-03-03_1746
R4,show ip bgp neighbors,2026-03-03_1746
R4,show ip bgp summary,2026-03-03_1746
R4,show ip bgp,2026-03-03_1751
R4,show ip bgp neighbors,2026-03-03_1751
R4,show ip bgp summary,2026-03-03_1751
R4,show ip bgp,2026-03-03_1754
R4,show ip bgp neighbors,2026-03-03_1754
R4,show ip bgp summary,2026-03-03_1754
R4,show ip bgp,2026-03-03_1940
R4,show ip bgp neighbors,2026-03-03_1940
R4,show ip bgp summary,2026-03-03_1940
R4,show ip bgp,2026-03-03_1944
R4,show ip bgp neighbors,2026-03-03_1944
R4,show ip bgp summary,2026-03-03_1944
R4,show ip bgp,2026-03-03_1951
R4,show ip bgp neighbors,2026-03-03_1951
R4,show ip bgp summary,2026-03-03_1951
R4,show ip bgp,2026-03-03_2009
R4,show ip bgp neighbors,2026-03-03_2009
R4,show ip bgp summary,2026-03-03_2009
R4,show ip bgp,2026-03-04_1109
R4,show ip bgp neighbors,2026-03-04_1109
R4,show ip bgp summary,2026-03-04_1109
R4,show ip bgp,2026-03-04_1115
R4,show ip bgp neighbors,2026-03-04_1115
