device_name,neighbor_ip,neighbor_id,interface,state,priority
R1,10.1.13.3,3.3.3.3,ge-0/0/2.0,Full,1
R1,10.1.13.3,3.3.3.3,ge-0/0/2.0,Full,1
R1,10.1.13.3,3.3.3.3,ge-0/0/2.0,Full,1
R1,10.1.13.3,3.3.3.3,ge-0/0/2.0,Full,1
R1,10.1.13.3,3.3.3.3,ge-0/0/2.0,Full,1
R1,10.1.13.3,3.3.3.3,ge-0/0/2.0,Full,1
R1,10.1.13.3,3.3.3.3,ge-0/0/2.0,Full,1
R1,10.1.13.3,3.3.3.3,ge-0/0/2.0,Full,1
R1,10.1.13.3,3.3.3.3,ge-0/0/2.0,Full,1
R1,10.1.13.3,3.3.3.3,ge-0/0/2.0,Full,1
R1,10.1.13.3,3.3.3.3,ge-0/0/2.0,Full,1
R1,10.1.13.3,3.3.3.3,ge-0/0/2.0,Full,1
R1,10.1.13.3,3.3.3.3,ge-0/0/2.0,Full,1
R1,10.1.13.3,3.3.3.3,ge-0/0/2.0,Full,1
R1,10.1.13.3,3.3.3.3,ge-0/0/2.0,Full,1
R1,10.1.13.3,3.3.3.3,ge-0/0/2.0,Full,1
R1,10.1.13.3,3.3.3.3,ge-0/0/2.0,Full,1
R1,10.1.13.3,3.3.3.3,ge-0/0/2.0,Full,1
R1,10.1.13.3,3.3.3.3,ge-0/0/2.0,Full,1
R1,10.1.13.3,3.3.3.3,ge-0/0/2.0,Full,1
R1,10.1.13.3,3.3.3.3,ge-0/0/2.0,Full,1
R1,10.1.13.3,3.3.3.3,ge-0/0/2.0,Full,1
R1,10.1.13.3,3.3.3.3,ge-0/0/2.0,Full,1
R1,10.1.13.3,3.3.3.3,ge-0/0/2.0,Full,1
R1,10.1.13.3,3.3.3.3,ge-0/0/2.0,Full,1
R1,10.1.13.3,3.3.3.3,ge-0/0/2.0,Full,1
R1,10.1.13.3,3.3.3.3,ge-0/0/2.0,Full,1
R2,10.1.24.4,4.4.4.4,ge-0/0/2.0,Full,1
R2,10.1.24.4,4.4.4.4,ge-0/0/2.0,Full,1
R2,10.1.24.4,4.4.4.4,ge-0/0/2.0,Full,1
R2,10.1.24.4,4.4.4.4,ge-0/0/2.0,Full,1
R2,10.1.24.4,4.4.4.4,ge-0/0/2.0,Full,1
R2,10.1.24.4,4.4.4.4,ge-0/0/2.0,Full,1
R2,10.1.24.4,4.4.4.4,ge-0/0/2.0,Full,1
R2,10.1.24.4,4.4.4.4,ge-0/0/2.0,Full,1
R2,10.1.24.4,4.4.4.4,ge-0/0/2.0,Full,1
R2,10.1.24.4,4.4.4.4,ge-0/0/2.0,Full,1
R2,10.1.24.4,4.4.4.4,ge-0/0/2.0,Full,1
R2,10.1.24.4,4.4.4.4,ge-0/0/2.0,Full,1
R2,10.1.24.4,4.4.4.4,ge-0/0/2.0,Full,1
R2,10.1.24.4,4.4.4.4,ge-0/0/2.0,Full,1
R2,10.1.24.4,4.4.4.4,ge-0/0/2.0,Full,1
R2,10.1.24.4,4.4.4.4,ge-0/0/2.0,Full,1
R2,10.1.24.4,4.4.4.4,ge-0/0/2.0,Full,1
R2,10.1.24.4,4.4.4.4,ge-0/0/2.0,Full,1
R2,10.1.24.4,4.4.4.4,ge-0/0/2.0,Full,1
R2,10.1.24.4,4.4.4.4,ge-0/0/2.0,Full,1
R2,10.1.24.4,4.4.4.4,ge-0/0/2.0,Full,1
R2,10.1.24.4,4.4.4.4,ge-0/0/2.0,Full,1
R2,10.1.24.4,4.4.4.4,ge-0/0/2.0,Full,1
R2,10.1.24.4,4.4.4.4,ge-0/0/2.0,Full,1
R2,10.1.24.4,4.4.4.4,ge-0/0/2.0,Full,1
R2,10.1.24.4,4.4.4.4,ge-0/0/2.0,Full,1
R2,10.1.24.4,4.4.4.4,ge-0/0/2.0,Full,1
