hostname,neighbor_id,neighbor_ip,interface,state,priority,dead_time,snapshot_id
R3,1.1.1.1,,Ethernet0/0,FULL/DR,,00:00:36,2026-03-03_2009
R3,1.1.1.1,,Ethernet0/0,FULL/DR,,00:00:37,2026-03-02_2110
R3,1.1.1.1,10.1.13.1,Ethernet0/0,FULL/DR,128,00:00:36,2026-03-04_1115
R3,1.1.1.1,,Ethernet0/0,FULL/DR,,00:00:34,2026-03-03_1940
R3,1.1.1.1,,Ethernet0/0,FULL/DR,,00:00:37,2026-03-03_1751
R3,1.1.1.1,,Ethernet0/0,FULL/DR,,00:00:37,2026-03-03_1746
R3,1.1.1.1,,Ethernet0/0,FULL/DR,,00:00:33,2026-03-03_1951
R3,1.1.1.1,10.1.13.1,Ethernet0/0,FULL/DR,128,00:00:35,2026-03-02_1652
R3,1.1.1.1,,Ethernet0/0,FULL/DR,,00:00:39,2026-03-02_2127
R4,2.2.2.2,,Ethernet0/0,FULL/DR,,00:00:33,2026-03-03_1940
R4,2.2.2.2,10.1.24.2,Ethernet0/0,FULL/DR,128,00:00:38,2026-03-06_0246
R4,2.2.2.2,,Ethernet0/0,FULL/DR,,00:00:39,2026-03-02_2246
R4,2.2.2.2,,Ethernet0/0,FULL/DR,,00:00:39,2026-03-02_1829
R4,2.2.2.2,10.1.24.2,Ethernet0/0,FULL/DR,128,00:00:34,2026-03-05_1627
R4,2.2.2.2,,Ethernet0/0,FULL/DR,,00:00:35,2026-03-02_2133
R4,2.2.2.2,10.1.24.2,Ethernet0/0,FULL/DR,128,00:00:35,2026-03-04_1124
R4,2.2.2.2,,Ethernet0/0,FULL/DR,,00:00:35,2026-03-03_2009
R4,2.2.2.2,,Ethernet0/0,FULL/DR,,00:00:39,2026-03-02_2127
R4,2.2.2.2,10.1.24.2,Ethernet0/0,FULL/DR,128,00:00:33,2026-03-05_1918
R4,2.2.2.2,10.1.24.2,Ethernet0/0,FULL/DR,128,00:00:35,2026-03-02_1652
R4,2.2.2.2,,Ethernet0/0,FULL/DR,,00:00:39,2026-03-03_1754
R4,2.2.2.2,10.1.24.2,Ethernet0/0,FULL/DR,128,00:00:34,2026-03-04_1115
R4,2.2.2.2,,Ethernet0/0,FULL/DR,,00:00:39,2026-03-03_1746
R4,2.2.2.2,,Ethernet0/0,FULL/DR,,00:00:37,2026-03-03_1751
R4,2.2.2.2,10.1.24.2,Ethernet0/0,FULL/DR,128,00:00:37,2026-03-02_1810
R4,2.2.2.2,,Ethernet0/0,FULL/DR,,00:00:38,2026-03-02_2110
R4,2.2.2.2,10.1.24.2,Ethernet0/0,FULL/DR,128,00:00:34,2026-03-02_1717
R4,2.2.2.2,,Ethernet0/0,FULL/DR,,00:00:39,2026-03-03_1944
R4,2.2.2.2,,Ethernet0/0,FULL/DR,,00:00:37,2026-03-02_2038
R4,2.2.2.2,10.1.24.2,Ethernet0/0,FULL/DR,128,00:00:31,2026-03-05_1615
R4,2.2.2.2,10.1.24.2,Ethernet0/0,FULL/DR,128,00:00:35,2026-03-06_0931
R4,2.2.2.2,10.1.24.2,Ethernet0/0,FULL/DR,128,00:00:31,2026-03-04_1109
R4,2.2.2.2,10.1.24.2,Ethernet0/0,FULL/DR,128,00:00:37,2026-03-05_1559
R4,2.2.2.2,,Ethernet0/0,FULL/DR,,00:00:32,2026-03-03_1951
