device_name,command,parsed_data
R1,show lldp neighbors,"[{""local_interface"":""ge-0/0/2"",""parent_interface"":""-"",""chassis_id"":""aa:bb:cc:00:30:00"",""neighbor_interface"":""to_R1_Gi2"",""neighbor_name"":""R3.local""},{""local_interface"":""ge-0/0/0"",""parent_interface"":""-"",""chassis_id"":""aa:bb:cc:00:a0:00"",""neighbor_interface"":""Ethernet0/0"",""neighbor_name"":""WAN""}]"
R1,show lldp neighbors,"[{""local_interface"":""ge-0/0/2"",""parent_interface"":""-"",""chassis_id"":""aa:bb:cc:00:30:00"",""neighbor_interface"":""to_R1_Gi2"",""neighbor_name"":""R3.local""},{""local_interface"":""ge-0/0/0"",""parent_interface"":""-"",""chassis_id"":""aa:bb:cc:00:a0:00"",""neighbor_interface"":""Ethernet0/0"",""neighbor_name"":""WAN""}]"
R1,show lldp neighbors,"[{""local_interface"":""ge-0/0/2"",""parent_interface"":""-"",""chassis_id"":""aa:bb:cc:00:30:00"",""neighbor_interface"":""to_R1_Gi2"",""neighbor_name"":""R3.local""},{""local_interface"":""ge-0/0/0"",""parent_interface"":""-"",""chassis_id"":""aa:bb:cc:00:a0:00"",""neighbor_interface"":""Ethernet0/0"",""neighbor_name"":""WAN""}]"
R1,show lldp neighbors,"[{""local_interface"":""ge-0/0/2"",""parent_interface"":""-"",""chassis_id"":""aa:bb:cc:00:30:00"",""neighbor_interface"":""to_R1_Gi2"",""neighbor_name"":""R3.local""},{""local_interface"":""ge-0/0/0"",""parent_interface"":""-"",""chassis_id"":""aa:bb:cc:00:a0:00"",""neighbor_interface"":""Ethernet0/0"",""neighbor_name"":""WAN""}]"
R1,show lldp neighbors,"[{""local_interface"":""ge-0/0/2"",""parent_interface"":""-"",""chassis_id"":""aa:bb:cc:00:30:00"",""neighbor_interface"":""to_R1_Gi2"",""neighbor_name"":""R3.local""},{""local_interface"":""ge-0/0/0"",""parent_interface"":""-"",""chassis_id"":""aa:bb:cc:00:a0:00"",""neighbor_interface"":""Ethernet0/0"",""neighbor_name"":""WAN""}]"
R1,show lldp neighbors,"[{""local_interface"":""ge-0/0/2"",""parent_interface"":""-"",""chassis_id"":""aa:bb:cc:00:30:00"",""neighbor_interface"":""to_R1_Gi2"",""neighbor_name"":""R3.local""},{""local_interface"":""ge-0/0/0"",""parent_interface"":""-"",""chassis_id"":""aa:bb:cc:00:a0:00"",""neighbor_interface"":""Ethernet0/0"",""neighbor_name"":""WAN""}]"
R1,show lldp neighbors,"[{""local_interface"":""ge-0/0/2"",""parent_interface"":""-"",""chassis_id"":""aa:bb:cc:00:30:00"",""neighbor_interface"":""to_R1_Gi2"",""neighbor_name"":""R3.local""},{""local_interface"":""ge-0/0/0"",""parent_interface"":""-"",""chassis_id"":""aa:bb:cc:00:a0:00"",""neighbor_interface"":""Ethernet0/0"",""neighbor_name"":""WAN""}]"
R1,show lldp neighbors,"[{""local_interface"":""ge-0/0/2"",""parent_interface"":""-"",""chassis_id"":""aa:bb:cc:00:30:00"",""neighbor_interface"":""to_R1_Gi2"",""neighbor_name"":""R3.local""},{""local_interface"":""ge-0/0/0"",""parent_interface"":""-"",""chassis_id"":""aa:bb:cc:00:a0:00"",""neighbor_interface"":""Ethernet0/0"",""neighbor_name"":""WAN""}]"
R1,show lldp neighbors,"[{""local_interface"":""ge-0/0/2"",""parent_interface"":""-"",""chassis_id"":""aa:bb:cc:00:30:00"",""neighbor_interface"":""to_R1_Gi2"",""neighbor_name"":""R3.local""},{""local_interface"":""ge-0/0/0"",""parent_interface"":""-"",""chassis_id"":""aa:bb:cc:00:a0:00"",""neighbor_interface"":""Ethernet0/0"",""neighbor_name"":""WAN""}]"
R1,show lldp neighbors,"[{""local_interface"":""ge-0/0/2"",""parent_interface"":""-"",""chassis_id"":""aa:bb:cc:00:30:00"",""neighbor_interface"":""to_R1_Gi2"",""neighbor_name"":""R3.local""},{""local_interface"":""ge-0/0/0"",""parent_interface"":""-"",""chassis_id"":""aa:bb:cc:00:a0:00"",""neighbor_interface"":""Ethernet0/0"",""neighbor_name"":""WAN""}]"
R1,show lldp neighbors,"[{""local_interface"":""ge-0/0/2"",""parent_interface"":""-"",""chassis_id"":""aa:bb:cc:00:30:00"",""neighbor_interface"":""to_R1_Gi2"",""neighbor_name"":""R3.local""},{""local_interface"":""ge-0/0/0"",""parent_interface"":""-"",""chassis_id"":""aa:bb:cc:00:a0:00"",""neighbor_interface"":""Ethernet0/0"",""neighbor_name"":""WAN""}]"
R1,show lldp neighbors,"[{""local_interface"":""ge-0/0/2"",""parent_interface"":""-"",""chassis_id"":""aa:bb:cc:00:30:00"",""neighbor_interface"":""to_R1_Gi2"",""neighbor_name"":""R3.local""},{""local_interface"":""ge-0/0/0"",""parent_interface"":""-"",""chassis_id"":""aa:bb:cc:00:a0:00"",""neighbor_interface"":""Ethernet0/0"",""neighbor_name"":""WAN""}]"
R1,show lldp neighbors,"[{""local_interface"":""ge-0/0/2"",""parent_interface"":""-"",""chassis_id"":""aa:bb:cc:00:30:00"",""neighbor_interface"":""to_R1_Gi2"",""neighbor_name"":""R3.local""},{""local_interface"":""ge-0/0/0"",""parent_interface"":""-"",""chassis_id"":""aa:bb:cc:00:a0:00"",""neighbor_interface"":""Ethernet0/0"",""neighbor_name"":""WAN""}]"
