device_id,name,hostname,platform,mgmt_ip,device_type,device_role,site,location,vendor,model,site_id,created_at,updated_at,is_active
SW1,SW1,192.168.100.105,cisco_ios,192.168.100.105,Unknown,access,lab,,,,,2026-02-09 15:18:50.066252,2026-02-09 15:18:50.066252,True
SW2,SW2,192.168.100.106,cisco_ios,192.168.100.106,Unknown,access,lab,,,,,2026-02-09 15:18:50.073679,2026-02-09 15:18:50.073679,True
